Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-06-28,2016,6,28,Tuesday,26,2016-26,54.1,54.9,53.95,54.85,8417000,48.52,0.021605606581298176,48.86857142857143,49.48
2016-06-29,2016,6,29,Wednesday,26,2016-26,55.42,56.95,55.36,56.74,11103800,50.19,0.03445745189607097,48.94142857142857,49.41
2016-06-30,2016,6,30,Thursday,26,2016-26,56.81,57.19,56.52,57.12,10215200,50.53,0.006697322066758105,49.08357142857143,49.346799999999995
2016-07-01,2016,7,1,Friday,26,2016-26,57.04,57.36,56.85,56.99,8330300,50.42,-0.0022756682491811286,49.207142857142856,49.285999999999994
2016-07-05,2016,7,5,Tuesday,27,2016-27,56.81,56.96,56.55,56.77,7274200,50.22,-0.0038606015780024983,49.28285714285715,49.2734
2016-07-06,2016,7,6,Wednesday,27,2016-27,56.52,57.11,56.32,56.75,8474200,50.2,-0.0003522963409262614,49.37142857142857,49.2588
2016-07-07,2016,7,7,Thursday,27,2016-27,56.66,57.0,56.47,56.91,6813300,50.34,0.0028193639790234926,49.458571428571425,49.248000000000005
2016-07-08,2016,7,8,Friday,27,2016-27,56.92,57.0,56.36,56.51,12655500,49.99,-0.007028745327057329,49.534285714285716,49.2446
2016-07-11,2016,7,11,Monday,28,2016-28,56.8,56.92,56.06,56.32,10394400,49.82,-0.003362061578097153,49.59357142857143,49.2462
2016-07-12,2016,7,12,Tuesday,28,2016-28,56.65,57.6,56.51,57.48,10998500,50.85,0.020596448979985693,49.699285714285715,49.271800000000006
2016-07-13,2016,7,13,Wednesday,28,2016-28,56.8,57.26,56.35,56.48,12183600,49.96,-0.017397238137806803,49.75428571428571,49.2596
2016-07-14,2016,7,14,Thursday,28,2016-28,57.0,57.68,56.97,57.59,11353600,50.95,0.01965283946115548,49.847142857142856,49.28339999999999
2016-07-15,2016,7,15,Friday,28,2016-28,57.69,57.74,57.13,57.41,8494000,50.79,-0.0031255215660763724,50.019999999999996,49.3016
2016-07-18,2016,7,18,Monday,29,2016-29,57.59,57.59,56.85,56.92,7614600,50.35,-0.008535190940843429,50.223571428571425,49.3134
2016-07-19,2016,7,19,Tuesday,29,2016-29,56.85,57.14,56.55,56.76,8719800,50.21,-0.0028110197732760245,50.34428571428571,49.321400000000004
2016-07-20,2016,7,20,Wednesday,29,2016-29,57.0,57.66,56.71,57.54,9446400,50.9,0.01374236091279224,50.395,49.337199999999996
2016-07-21,2016,7,21,Thursday,29,2016-29,57.62,57.67,57.04,57.6,16151700,50.95,0.0010423709671545378,50.425,49.339000000000006
2016-07-22,2016,7,22,Friday,29,2016-29,57.6,58.24,57.2,57.9,23899300,51.22,0.005208598867140646,50.482142857142854,49.368599999999994
2016-07-25,2016,7,25,Monday,30,2016-30,57.72,58.09,57.5,57.95,10486000,51.26,0.0008635520057531654,50.55642857142857,49.3978
